Segunda-feira,Raca,Quantidade
2021-08-23,1,1202.0
2021-08-23,2,114.28571428571429
2021-08-23,3,26.571428571428573
2021-08-23,4,940.2857142857143
2021-08-23,5,6.428571428571429
2021-08-30,1,1061.857142857143
2021-08-30,2,111.14285714285714
2021-08-30,3,26.0
2021-08-30,4,832.0
2021-08-30,5,5.428571428571429
2021-09-06,1,977.1428571428571
2021-09-06,2,100.71428571428571
2021-09-06,3,25.428571428571427
2021-09-06,4,778.2857142857143
2021-09-06,5,5.142857142857143
2021-09-13,1,997.5714285714286
2021-09-13,2,95.0
2021-09-13,3,20.714285714285715
2021-09-13,4,740.0
2021-09-13,5,4.0
2021-09-20,1,922.5714285714286
2021-09-20,2,96.0
2021-09-20,3,19.285714285714285
2021-09-20,4,736.7142857142857
2021-09-20,5,4.571428571428571
2021-09-27,1,880.4285714285714
2021-09-27,2,93.85714285714286
2021-09-27,3,20.428571428571427
2021-09-27,4,684.2857142857143
2021-09-27,5,5.0
2021-10-04,1,792.4285714285714
2021-10-04,2,79.57142857142857
2021-10-04,3,15.142857142857142
2021-10-04,4,674.0
2021-10-04,5,5.666666666666667
2021-10-11,1,703.8571428571429
2021-10-11,2,73.57142857142857
2021-10-11,3,14.857142857142858
2021-10-11,4,565.7142857142857
2021-10-11,5,4.571428571428571
2021-10-18,1,665.2857142857143
2021-10-18,2,75.14285714285714
2021-10-18,3,14.142857142857142
2021-10-18,4,558.5714285714286
2021-10-18,5,5.714285714285714
2021-10-25,1,719.0
2021-10-25,2,71.0
2021-10-25,3,16.0
2021-10-25,4,544.2857142857143
2021-10-25,5,5.142857142857143
2021-11-01,1,656.7142857142857
2021-11-01,2,65.42857142857143
2021-11-01,3,15.0
2021-11-01,4,512.0
2021-11-01,5,5.428571428571429
2021-11-08,1,604.5714285714286
2021-11-08,2,60.857142857142854
2021-11-08,3,12.428571428571429
2021-11-08,4,517.5714285714286
2021-11-08,5,3.5714285714285716
2021-11-15,1,591.4285714285714
2021-11-15,2,64.14285714285714
2021-11-15,3,9.571428571428571
2021-11-15,4,521.2857142857143
2021-11-15,5,4.428571428571429
2021-11-22,1,585.1428571428571
2021-11-22,2,72.0
2021-11-22,3,10.714285714285714
2021-11-22,4,532.7142857142857
2021-11-22,5,4.428571428571429
2021-11-29,1,558.2857142857143
2021-11-29,2,66.0
2021-11-29,3,13.142857142857142
2021-11-29,4,561.7142857142857
2021-11-29,5,4.428571428571429
2021-12-06,1,521.8571428571429
2021-12-06,2,62.714285714285715
2021-12-06,3,13.857142857142858
2021-12-06,4,542.0
2021-12-06,5,2.7142857142857144
2021-12-13,1,596.4285714285714
2021-12-13,2,77.57142857142857
2021-12-13,3,14.714285714285714
2021-12-13,4,628.1428571428571
2021-12-13,5,5.142857142857143
2021-12-20,1,634.5714285714286
2021-12-20,2,82.0
2021-12-20,3,15.0
2021-12-20,4,807.5714285714286
2021-12-20,5,4.428571428571429
2021-12-27,1,898.8571428571429
2021-12-27,2,110.28571428571429
2021-12-27,3,23.285714285714285
2021-12-27,4,1076.4285714285713
2021-12-27,5,6.714285714285714
2022-01-03,1,1296.5714285714287
2022-01-03,2,141.0
2022-01-03,3,31.571428571428573
2022-01-03,4,1431.2857142857142
2022-01-03,5,11.428571428571429
2022-01-10,1,1545.2857142857142
2022-01-10,2,171.14285714285714
2022-01-10,3,33.42857142857143
2022-01-10,4,1571.4285714285713
2022-01-10,5,13.285714285714286
2022-01-17,1,1887.0
2022-01-17,2,187.42857142857142
2022-01-17,3,41.42857142857143
2022-01-17,4,1768.142857142857
2022-01-17,5,13.142857142857142
2022-01-24,1,2002.0
2022-01-24,2,190.42857142857142
2022-01-24,3,37.857142857142854
2022-01-24,4,1675.0
2022-01-24,5,10.857142857142858
2022-01-31,1,1671.7142857142858
2022-01-31,2,150.57142857142858
2022-01-31,3,35.142857142857146
2022-01-31,4,1429.0
2022-01-31,5,12.142857142857142
2022-02-07,1,1333.857142857143
2022-02-07,2,120.42857142857143
2022-02-07,3,32.0
2022-02-07,4,1140.142857142857
2022-02-07,5,9.0
2022-02-14,1,1074.857142857143
2022-02-14,2,94.57142857142857
2022-02-14,3,24.0
2022-02-14,4,891.0
2022-02-14,5,5.428571428571429
2022-02-21,1,817.5714285714286
2022-02-21,2,79.57142857142857
2022-02-21,3,16.285714285714285
2022-02-21,4,721.7142857142857
2022-02-21,5,6.428571428571429
2022-02-28,1,599.7142857142857
2022-02-28,2,61.42857142857143
2022-02-28,3,12.571428571428571
2022-02-28,4,559.0
2022-02-28,5,3.5714285714285716
2022-03-07,1,542.2857142857143
2022-03-07,2,53.285714285714285
2022-03-07,3,10.571428571428571
2022-03-07,4,547.0
2022-03-07,5,4.285714285714286
2022-03-14,1,471.7142857142857
2022-03-14,2,51.857142857142854
2022-03-14,3,8.142857142857142
2022-03-14,4,526.0
2022-03-14,5,4.0
2022-03-21,1,443.0
2022-03-21,2,46.142857142857146
2022-03-21,3,9.714285714285714
2022-03-21,4,482.7142857142857
2022-03-21,5,3.8333333333333335
