Segunda-feira,Escolaridade,Quantidade
2021-09-06,1,205.71428571428572
2021-09-06,2,122.42857142857143
2021-09-06,3,184.71428571428572
2021-09-06,4,76.14285714285714
2021-09-13,0,81.85714285714286
2021-09-13,1,207.71428571428572
2021-09-13,2,126.28571428571429
2021-09-13,3,184.28571428571428
2021-09-13,4,70.14285714285714
2021-09-20,0,92.14285714285714
2021-09-20,1,205.42857142857142
2021-09-20,2,114.28571428571429
2021-09-20,3,168.85714285714286
2021-09-20,4,64.28571428571429
2021-09-27,0,87.0
2021-09-27,1,180.85714285714286
2021-09-27,2,107.57142857142857
2021-09-27,3,155.28571428571428
2021-09-27,4,66.0
2021-10-04,0,80.14285714285714
2021-10-04,1,174.0
2021-10-04,2,93.28571428571429
2021-10-04,3,134.85714285714286
2021-10-04,4,52.714285714285715
2021-10-11,0,76.71428571428571
2021-10-11,1,155.85714285714286
2021-10-11,2,90.28571428571429
2021-10-11,3,120.14285714285714
2021-10-11,4,42.42857142857143
2021-10-18,0,79.0
2021-10-18,1,136.42857142857142
2021-10-18,2,87.28571428571429
2021-10-18,3,116.42857142857143
2021-10-18,4,46.0
2021-10-25,0,91.14285714285714
2021-10-25,1,148.0
2021-10-25,2,90.14285714285714
2021-10-25,3,106.14285714285714
2021-10-25,4,39.142857142857146
2021-11-01,0,80.14285714285714
2021-11-01,1,148.14285714285714
2021-11-01,2,80.57142857142857
2021-11-01,3,100.85714285714286
2021-11-01,4,34.57142857142857
2021-11-08,0,78.0
2021-11-08,1,134.14285714285714
2021-11-08,2,69.71428571428571
2021-11-08,3,93.57142857142857
2021-11-08,4,30.714285714285715
2021-11-15,0,77.71428571428571
2021-11-15,1,133.71428571428572
2021-11-15,2,71.85714285714286
2021-11-15,3,94.57142857142857
2021-11-15,4,31.0
2021-11-22,0,82.28571428571429
2021-11-22,1,127.14285714285714
2021-11-22,2,74.14285714285714
2021-11-22,3,92.57142857142857
2021-11-22,4,35.142857142857146
2021-11-29,0,84.71428571428571
2021-11-29,1,126.85714285714286
2021-11-29,2,64.85714285714286
2021-11-29,3,88.0
2021-11-29,4,27.428571428571427
2021-12-06,0,72.57142857142857
2021-12-06,1,118.71428571428571
2021-12-06,2,63.714285714285715
2021-12-06,3,89.85714285714286
2021-12-06,4,26.571428571428573
2021-12-13,0,93.14285714285714
2021-12-13,1,128.71428571428572
2021-12-13,2,71.57142857142857
2021-12-13,3,103.14285714285714
2021-12-13,4,42.285714285714285
2021-12-20,0,78.71428571428571
2021-12-20,1,132.71428571428572
2021-12-20,2,85.42857142857143
2021-12-20,3,113.85714285714286
2021-12-20,4,39.0
2021-12-27,0,111.71428571428571
2021-12-27,1,207.14285714285714
2021-12-27,2,109.85714285714286
2021-12-27,3,169.71428571428572
2021-12-27,4,62.57142857142857
2022-01-03,0,166.0
2022-01-03,1,308.85714285714283
2022-01-03,2,166.85714285714286
2022-01-03,3,230.42857142857142
2022-01-03,4,99.85714285714286
2022-01-10,0,179.28571428571428
2022-01-10,1,367.14285714285717
2022-01-10,2,199.0
2022-01-10,3,269.42857142857144
2022-01-10,4,111.28571428571429
2022-01-17,0,191.57142857142858
